source,title,university,difficulty,subject,price,is_paid,rating,rating_capped_5,popularity,popularity_norm,skills,description,url,num_lectures,start_date,end_date,published_date,text
,High Stakes Leadership: Leading in Times of Crisis,University of Michigan,Beginner,general,,,4.7,4.7,,,history Planning crisis management Communication leadership teaching method coaching Leadership and Management crisis crisis communication business leadership-and-management,"This course has been designed to help leaders, like you, learn how to effectively navigate the challenges of significant organizational disruptions. As a participant in this course, you'll discover why an understanding of various stakeholder perspectives can inform and dramatically improve a leader's response to events that threaten an organization's very survival. This course is also about understanding and developing individual and organizational resilience'the ability to anticipate potential threats; to cope effectively with adverse events when they occur; and to adapt to changing conditions, ensuring a viable path forward for yourself, your team, and your organization. These topics are particularly relevant in the wake of the global COVID-19 pandemic. Many course examples will reference lessons leaders around the world have learned during this far-reaching healthcare crisis. During the eight course modules, which are distributed over four weeks, participants will explore topics such as: Why the VUCA world is making crises more common; Characteristics of resilient organizations and ways to increase resilience; Stakeholder value propositions and how these are threatened during a crisis; Organizing frameworks for estimating the types of crises an organization might encounter; the Unique and challenging nature of the crisis environment; the Fundamentals of crisis leadership; and Building a plan to prepare yourself, your team, and your organization for your next major crisis'which, in today's world, is not so much an 'if', as a 'when'. Professor Mike Barger, your faculty member for this course, has served as a TOPGUN instructor in the United States Navy and as a founder and executive at JetBlue Airways. His professional experience has helped him learn a great deal about crisis leadership and to gain a true sense of what it means to be resilient. Throughout the course, Professor Barger will draw upon many practical examples that will make the content of this course easy to appreciate, understand, and translate into practical lessons that you will be able to apply immediately at your organization. Crisis leadership is a topic that's exciting, daunting, and almost impossible to master. With some time and effort over the four weeks of the course, however, you can develop an exceptional set of crisis-leadership tools that will serve you well throughout your professional career.",https://www.coursera.org/learn/high-stakes-leadership,,,,,"High Stakes Leadership: Leading in Times of Crisis history Planning crisis management Communication leadership teaching method coaching Leadership and Management crisis crisis communication business leadership-and-management This course has been designed to help leaders, like you, learn how to effectively navigate the challenges of significant organizational disruptions. As a participant in this course, you'll discover why an understanding of various stakeholder perspectives can inform and dramatically improve a leader's response to events that threaten an organization's very survival. This course is also about understanding and developing individual and organizational resilience'the ability to anticipate potential threats; to cope effectively with adverse events when they occur; and to adapt to changing conditions, ensuring a viable path forward for yourself, your team, and your organization. These topics are particularly relevant in the wake of the global COVID-19 pandemic. Many course examples will reference lessons leaders around the world have learned during this far-reaching healthcare crisis. During the eight course modules, which are distributed over four weeks, participants will explore topics such as: Why the VUCA world is making crises more common; Characteristics of resilient organizations and ways to increase resilience; Stakeholder value propositions and how these are threatened during a crisis; Organizing frameworks for estimating the types of crises an organization might encounter; the Unique and challenging nature of the crisis environment; the Fundamentals of crisis leadership; and Building a plan to prepare yourself, your team, and your organization for your next major crisis'which, in today's world, is not so much an 'if', as a 'when'. Professor Mike Barger, your faculty member for this course, has served as a TOPGUN instructor in the United States Navy and as a founder and executive at JetBlue Airways. His professional experience has helped him learn a great deal about crisis leadership and to gain a true sense of what it means to be resilient. Throughout the course, Professor Barger will draw upon many practical examples that will make the content of this course easy to appreciate, understand, and translate into practical lessons that you will be able to apply immediately at your organization. Crisis leadership is a topic that's exciting, daunting, and almost impossible to master. With some time and effort over the four weeks of the course, however, you can develop an exceptional set of crisis-leadership tools that will serve you well throughout your professional career."
,AI Capstone Project with Deep Learning,IBM,Beginner,machine learning,,,4.2,4.2,,,modeling Deep Learning Apache Spark Tensorflow Validation Set system image Keras PyTorch Linear Classifier Machine Learning data-science machine-learning,"In this capstone, learners will apply their deep learning knowledge and expertise to a real world challenge. They will use a library of their choice to develop and test a deep learning model. They will load and pre-process data for a real problem, build the model and validate it. Learners will then present a project report to demonstrate the validity of their model and their proficiency in the field of Deep Learning. Learning Outcomes: '\tdetermine what kind of deep learning method to use in which situation '\tknow how to build a deep learning model to solve a real problem '\tmaster the process of creating a deep learning pipeline '\tapply knowledge of deep learning to improve models using real data '\tdemonstrate ability to present and communicate outcomes of deep learning projects",https://www.coursera.org/learn/ai-deep-learning-capstone,,,,,"AI Capstone Project with Deep Learning modeling Deep Learning Apache Spark Tensorflow Validation Set system image Keras PyTorch Linear Classifier Machine Learning data-science machine-learning In this capstone, learners will apply their deep learning knowledge and expertise to a real world challenge. They will use a library of their choice to develop and test a deep learning model. They will load and pre-process data for a real problem, build the model and validate it. Learners will then present a project report to demonstrate the validity of their model and their proficiency in the field of Deep Learning. Learning Outcomes: '\tdetermine what kind of deep learning method to use in which situation '\tknow how to build a deep learning model to solve a real problem '\tmaster the process of creating a deep learning pipeline '\tapply knowledge of deep learning to improve models using real data '\tdemonstrate ability to present and communicate outcomes of deep learning projects"
,Matrix Algebra for Engineers,The Hong Kong University of Science and Technology,Beginner,general,,,4.8,4.8,,,linearity gaussian elimination Determinants matrix theory Linear Algebra Eigenvalues And Eigenvectors Algebra sigma-algebra Vector Spaces matrices math-and-logic math-and-logic,"This course is all about matrices, and concisely covers the linear algebra that an engineer should know. The mathematics in this course is presented at the level of an Advanced high school student, but typically students should take this course after completing a university-level single variable calculus course. There are no derivatives or integrals in this course, but students are expected to have attained a sufficient level of mathematical maturity. Nevertheless, anyone who wants to learn the basics of matrix algebra is welcome to join. The course contains 38 short lecture videos, with a few problems to solve after each lecture. And after each substantial topic, there is a short practice quiz. Solutions to the problems and practice quizzes can be found in instructor-provided lecture notes. There are a total of four weeks in the course, and at the end of each week there is an assessed quiz. Lecture notes can be downloaded from http://www.math.ust.hk/~machas/matrix-algebra-for-engineers.pdf",https://www.coursera.org/learn/matrix-algebra-engineers,,,,,"Matrix Algebra for Engineers linearity gaussian elimination Determinants matrix theory Linear Algebra Eigenvalues And Eigenvectors Algebra sigma-algebra Vector Spaces matrices math-and-logic math-and-logic This course is all about matrices, and concisely covers the linear algebra that an engineer should know. The mathematics in this course is presented at the level of an Advanced high school student, but typically students should take this course after completing a university-level single variable calculus course. There are no derivatives or integrals in this course, but students are expected to have attained a sufficient level of mathematical maturity. Nevertheless, anyone who wants to learn the basics of matrix algebra is welcome to join. The course contains 38 short lecture videos, with a few problems to solve after each lecture. And after each substantial topic, there is a short practice quiz. Solutions to the problems and practice quizzes can be found in instructor-provided lecture notes. There are a total of four weeks in the course, and at the end of each week there is an assessed quiz. Lecture notes can be downloaded from http://www.math.ust.hk/~machas/matrix-algebra-for-engineers.pdf"
,The Arts and Science of Relationships: Understanding Human Needs,University of Toronto,Unknown,general,,,4.3,4.3,,,counseling Leadership and Management sex people skills Communication assertiveness personal development psychologies sexuality relationship counseling personal-development personal-development,"This course provides an introduction to: 1. Basic concepts of The Strategies and Skills Learning and Development System (SSLD), their relevance for every day relationships and provide Advanced concepts for participants who work in fields of social work and health care . 2. Basic practice principles and methods of SSLD, illustrated by relationship management case studies. 3. The SSLD framework for relationship management assessment; N3C (needs, circumstances, characteristics, capacity) and problem translation. 4. Core competencies in the relationship management application of the SSLD system: Observation learning, simulation, real life implementation, review and monitoring.",https://www.coursera.org/learn/human-needs,,,,,"The Arts and Science of Relationships: Understanding Human Needs counseling Leadership and Management sex people skills Communication assertiveness personal development psychologies sexuality relationship counseling personal-development personal-development This course provides an introduction to: 1. Basic concepts of The Strategies and Skills Learning and Development System (SSLD), their relevance for every day relationships and provide Advanced concepts for participants who work in fields of social work and health care . 2. Basic practice principles and methods of SSLD, illustrated by relationship management case studies. 3. The SSLD framework for relationship management assessment; N3C (needs, circumstances, characteristics, capacity) and problem translation. 4. Core competencies in the relationship management application of the SSLD system: Observation learning, simulation, real life implementation, review and monitoring."
,Wireless Communications for Everybody,Yonsei University,Beginner,general,,,4.7,4.7,,,telecommunications cellular network packet switching wireless networking circuit switching wireless mimo data transmission Communication architecture physical-science-and-engineering electrical-engineering,"This course will provide an introduction and history of cellular communication systems that have changed our lives during the recent four decades and will become an essential and inseparable part of human life. The principles of wireless communication theory are covered with emphasis on the essential concept delivery to non-major learners in the easiest way. Then, it will be covered how such principles are realized and how multimedia services can be delivered in practical LTE cellular systems by which learners are connected and enjoys together in their lives. After completing this course, learners will be able to understand 1. What a cellular system is and how it has been developed so far 2. The very basic principles how information can be delivered efficiently using radio 3. How such principles are realized in LTE systems. 4. How people can be connected and multimedia services can be delivered in LTE systems",https://www.coursera.org/learn/wireless-communications,,,,,"Wireless Communications for Everybody telecommunications cellular network packet switching wireless networking circuit switching wireless mimo data transmission Communication architecture physical-science-and-engineering electrical-engineering This course will provide an introduction and history of cellular communication systems that have changed our lives during the recent four decades and will become an essential and inseparable part of human life. The principles of wireless communication theory are covered with emphasis on the essential concept delivery to non-major learners in the easiest way. Then, it will be covered how such principles are realized and how multimedia services can be delivered in practical LTE cellular systems by which learners are connected and enjoys together in their lives. After completing this course, learners will be able to understand 1. What a cellular system is and how it has been developed so far 2. The very basic principles how information can be delivered efficiently using radio 3. How such principles are realized in LTE systems. 4. How people can be connected and multimedia services can be delivered in LTE systems"
,Non-Equilibrium Applications of Statistical Thermodynamics,University of Colorado Boulder,Intermediate,general,,,4.4,4.4,,,measurement chemistry energy level statistical mechanics Mechanical Engineering Chemical Engineering flow network physics energy fluid mechanics physical-science-and-engineering mechanical-engineering,"Course 5 of Statistical Thermodynamics explores three different applications of non-equilibrium statistical thermodynamics. The first is the transport behavior of ideal gases, with some discussion of transport in dense gases and liquids. It starts with simple estimates of the transport properties of an ideas gas. It then introduces the Boltzmann Equation and describes the Chapman-Enskog solution of that equation in order to obtain the transport properties. It closes with a discussion of practical sources of transport properties. Spectroscopic methods have become increasingly common as a way of determining the thermodynamic state of a system. Here we present the underlying concepts of the subject and explores how spectroscopy can be used to determine thermodynamic and flow properties. Chemical kinetics are important in a variety of fluid/thermal applications including combustion, air quality, fuel cells and material processing. Here we cover the basics of chemical kinetics, with a particular focus on combustion. It starts with some definitions, including reaction rate and reaction rate constant. It then explores methods for determining reaction rate constants. Next, systems of reactions, or reaction mechanisms, are explored, including the oxidation of hydrogen and hydrocarbon fuels. Finally, computational tools for carrying out kinetic calculations are explored.",https://www.coursera.org/learn/stats-thermo-non-equilibrium-applications,,,,,"Non-Equilibrium Applications of Statistical Thermodynamics measurement chemistry energy level statistical mechanics Mechanical Engineering Chemical Engineering flow network physics energy fluid mechanics physical-science-and-engineering mechanical-engineering Course 5 of Statistical Thermodynamics explores three different applications of non-equilibrium statistical thermodynamics. The first is the transport behavior of ideal gases, with some discussion of transport in dense gases and liquids. It starts with simple estimates of the transport properties of an ideas gas. It then introduces the Boltzmann Equation and describes the Chapman-Enskog solution of that equation in order to obtain the transport properties. It closes with a discussion of practical sources of transport properties. Spectroscopic methods have become increasingly common as a way of determining the thermodynamic state of a system. Here we present the underlying concepts of the subject and explores how spectroscopy can be used to determine thermodynamic and flow properties. Chemical kinetics are important in a variety of fluid/thermal applications including combustion, air quality, fuel cells and material processing. Here we cover the basics of chemical kinetics, with a particular focus on combustion. It starts with some definitions, including reaction rate and reaction rate constant. It then explores methods for determining reaction rate constants. Next, systems of reactions, or reaction mechanisms, are explored, including the oxidation of hydrogen and hydrocarbon fuels. Finally, computational tools for carrying out kinetic calculations are explored."
,Create an interactive fiction adventure game with Python,Coursera Project Network,Beginner,programming,,,4.6,4.6,,,monster Python Programming display devices Computer Programming running euler's totient function project choice video game development interactivity computer-science software-development,"In this 2-hour long project-based course, you will learn how to create an interactive fiction text adventure game in Python, the basics of programming and of Python language. Note: This course works best for learners who are based in the North America region. We're currently working on providing the same experience in other regions.",https://www.coursera.org/learn/create-an-interactive-fiction-text-adventure-game-with-python,,,,,"Create an interactive fiction adventure game with Python monster Python Programming display devices Computer Programming running euler's totient function project choice video game development interactivity computer-science software-development In this 2-hour long project-based course, you will learn how to create an interactive fiction text adventure game in Python, the basics of programming and of Python language. Note: This course works best for learners who are based in the North America region. We're currently working on providing the same experience in other regions."
,Know Thyself - The Value and Limits of Self-Knowledge: The Examined Life,The University of Edinburgh,Beginner,general,,,4.6,4.6,,,human nature philosophy of mind socratic method meditation introspection psychology of self Social Psychology philosophy psychology empiricism arts-and-humanities philosophy,"According to legend, inscribed on walls of the temple on the sacred site of Delphi in Ancient Greece were two premier injunctions: NOTHING IN EXCESS, and KNOW THYSELF. This course will be an examination of the latter injunction in an effort to discover what self-knowledge is, why it might be valuable, and what, if any, limitations it might face. What is missing from a person lacking in self-knowledge that makes her less wise, virtuous, or competent in certain areas than others who have this capacity, and what if anything might she do to fill that gap? Historical sources as well as recent research in philosophy, experimental social psychology, and neuroscience will inform our investigation, in the course of which we will become students of our own dreams, and cultivate some meditative practices. Learning Outcomes: Learners will gain familiarity with prominent themes from Western, classical Chinese, and Buddhist approaches to our knowledge of ourselves. In the course of doing so, they will gain an appreciation of the relation of self-knowledge to wisdom, of the value of intellectual humility, as well as of methods of learning about oneself that do not depend on introspection. Learners will also become familiar with contemporary research in experimental social psychology, philosophy, and neuroscience into the emotions, the unconscious, the role of affect in decision making, and self-deception. They will also gain an appreciation of a challenge to the assumption of a coherent, unified self that derives from the Buddhist tradition. --- This course was created by a partnership between The University of Edinburgh and Humility & Conviction and Public Life Project, an engaged research project based at the University of Connecticut and funded by a generous grant from the John Templeton Foundation.",https://www.coursera.org/learn/know-thyself-the-examined-life,,,,,"Know Thyself - The Value and Limits of Self-Knowledge: The Examined Life human nature philosophy of mind socratic method meditation introspection psychology of self Social Psychology philosophy psychology empiricism arts-and-humanities philosophy According to legend, inscribed on walls of the temple on the sacred site of Delphi in Ancient Greece were two premier injunctions: NOTHING IN EXCESS, and KNOW THYSELF. This course will be an examination of the latter injunction in an effort to discover what self-knowledge is, why it might be valuable, and what, if any, limitations it might face. What is missing from a person lacking in self-knowledge that makes her less wise, virtuous, or competent in certain areas than others who have this capacity, and what if anything might she do to fill that gap? Historical sources as well as recent research in philosophy, experimental social psychology, and neuroscience will inform our investigation, in the course of which we will become students of our own dreams, and cultivate some meditative practices. Learning Outcomes: Learners will gain familiarity with prominent themes from Western, classical Chinese, and Buddhist approaches to our knowledge of ourselves. In the course of doing so, they will gain an appreciation of the relation of self-knowledge to wisdom, of the value of intellectual humility, as well as of methods of learning about oneself that do not depend on introspection. Learners will also become familiar with contemporary research in experimental social psychology, philosophy, and neuroscience into the emotions, the unconscious, the role of affect in decision making, and self-deception. They will also gain an appreciation of a challenge to the assumption of a coherent, unified self that derives from the Buddhist tradition. --- This course was created by a partnership between The University of Edinburgh and Humility & Conviction and Public Life Project, an engaged research project based at the University of Connecticut and funded by a generous grant from the John Templeton Foundation."
,Digitalisation in Space Research,Technische Universit't M'nchen (TUM),Intermediate,general,,,4.6,4.6,,,Imagery Intelligence spacecraft communication Transportation Analysis Aerospace Engineering unmanned vehicles Electronic Signals Intelligence Navigation Equipment Unmanned Aerial System interplanetary internet unmanned aerial vehicle physical-science-and-engineering mechanical-engineering,This course provides an overview of the most important digital applications in the field of aerospace research. The course instructors discuss how digitalisation is impacting and changing both satellite-based and manned spaceflight research. One unit is specifically devoted to exploring the use of artificial intelligence in the evaluation of satellite data.,https://www.coursera.org/learn/space,,,,,Digitalisation in Space Research Imagery Intelligence spacecraft communication Transportation Analysis Aerospace Engineering unmanned vehicles Electronic Signals Intelligence Navigation Equipment Unmanned Aerial System interplanetary internet unmanned aerial vehicle physical-science-and-engineering mechanical-engineering This course provides an overview of the most important digital applications in the field of aerospace research. The course instructors discuss how digitalisation is impacting and changing both satellite-based and manned spaceflight research. One unit is specifically devoted to exploring the use of artificial intelligence in the evaluation of satellite data.
,Particle Physics: an Introduction,University of Geneva,Intermediate,general,,,4.1,4.1,,,Nuclear Energy astronomy theory of relativity tailored access operations quantum mechanics beam robotics Calorimeters physics Experiment energy physical-science-and-engineering physics-and-astronomy,"This course introduces you to subatomic physics, i.e. the physics of nuclei and particles. More specifically, the following questions are addressed: - What are the concepts of particle physics and how are they implemented? - What are the properties of atomic nuclei and how can one use them? - How does one accelerate and detect particles and measure their properties? - What does one learn from particle reactions at high energies and particle decays? - How do electromagnetic interactions work and how can one use them? - How do strong interactions work and why are they difficult to understand? - How do weak interactions work and why are they so special? - What is the mass of objects at the subatomic level and how does the Higgs boson intervene? - How does one search for new phenomena beyond the known ones? - What can one learn from particle physics concerning astrophysics and the Universe as a whole? The course is structured in eight modules. Following the first one which introduces our subject, the modules 2 (nuclear physics) and 3 (accelerators and detectors) are rather self contained and can be studied separately. The modules 4 to 6 go into more depth about matter and forces as described by the standard model of particle physics. Module 7 deals with our ways to search for new phenomena. And the last module introduces you to two mysterious components of the Universe, namely Dark Matter and Dark Energy.",https://www.coursera.org/learn/particle-physics,,,,,"Particle Physics: an Introduction Nuclear Energy astronomy theory of relativity tailored access operations quantum mechanics beam robotics Calorimeters physics Experiment energy physical-science-and-engineering physics-and-astronomy This course introduces you to subatomic physics, i.e. the physics of nuclei and particles. More specifically, the following questions are addressed: - What are the concepts of particle physics and how are they implemented? - What are the properties of atomic nuclei and how can one use them? - How does one accelerate and detect particles and measure their properties? - What does one learn from particle reactions at high energies and particle decays? - How do electromagnetic interactions work and how can one use them? - How do strong interactions work and why are they difficult to understand? - How do weak interactions work and why are they so special? - What is the mass of objects at the subatomic level and how does the Higgs boson intervene? - How does one search for new phenomena beyond the known ones? - What can one learn from particle physics concerning astrophysics and the Universe as a whole? The course is structured in eight modules. Following the first one which introduces our subject, the modules 2 (nuclear physics) and 3 (accelerators and detectors) are rather self contained and can be studied separately. The modules 4 to 6 go into more depth about matter and forces as described by the standard model of particle physics. Module 7 deals with our ways to search for new phenomena. And the last module introduces you to two mysterious components of the Universe, namely Dark Matter and Dark Energy."
,Evidence-based Toxicology,Johns Hopkins University,Intermediate,general,,,4.8,4.8,,,General Statistics evidence-based toxicology p-value external validity Meta-Analysis toxicity observational error cell culture systematics quality control life-sciences basic-science,"Welcome to the Evidence-based Toxicology (EBT) course. In medicine and healthcare, evidence-based medicine has revolutionized the way that information is evaluated transparently and objectively. Over the past ten years, a movement in North America and Europe has attempted to translate this revolution to the field of toxicology. The Center for Alternatives to Animal Testing (CAAT) within the department of Environmental Health and Engineering at the Johns Hopkins Bloomberg School of Public Health hosts the first chair for EBT and the secretariat for the EBT Collaboration on both sides of the Atlantic. Based on the Cochrane Collaboration in Evidence-based Medicine, the EBT Collaboration was established at the CAAT to foster the development of a process for quality assurance of new toxicity tests for the assessment of safety in humans and the environment. Regulatory safety sciences have undergone remarkably little change in the past fifty years. At the same time, our knowledge in the life sciences is doubling about every seven years. Systematic review and related evidence-based approaches are beginning to be adapted by regulatory agencies like the Environment Protection Agency (EPA), the European Food Safety Authority (EFSA), and the US National Toxicology Program. They provide transparent, objective, and consistent tools to identify, select, appraise, and extract evidence across studies. This course will showcase these emerging efforts and address opportunities and challenges to the expanded use of these tools within toxicology.",https://www.coursera.org/learn/evidence-based-toxicology,,,,,"Evidence-based Toxicology General Statistics evidence-based toxicology p-value external validity Meta-Analysis toxicity observational error cell culture systematics quality control life-sciences basic-science Welcome to the Evidence-based Toxicology (EBT) course. In medicine and healthcare, evidence-based medicine has revolutionized the way that information is evaluated transparently and objectively. Over the past ten years, a movement in North America and Europe has attempted to translate this revolution to the field of toxicology. The Center for Alternatives to Animal Testing (CAAT) within the department of Environmental Health and Engineering at the Johns Hopkins Bloomberg School of Public Health hosts the first chair for EBT and the secretariat for the EBT Collaboration on both sides of the Atlantic. Based on the Cochrane Collaboration in Evidence-based Medicine, the EBT Collaboration was established at the CAAT to foster the development of a process for quality assurance of new toxicity tests for the assessment of safety in humans and the environment. Regulatory safety sciences have undergone remarkably little change in the past fifty years. At the same time, our knowledge in the life sciences is doubling about every seven years. Systematic review and related evidence-based approaches are beginning to be adapted by regulatory agencies like the Environment Protection Agency (EPA), the European Food Safety Authority (EFSA), and the US National Toxicology Program. They provide transparent, objective, and consistent tools to identify, select, appraise, and extract evidence across studies. This course will showcase these emerging efforts and address opportunities and challenges to the expanded use of these tools within toxicology."
,"Coexistence in Medieval Spain: Jews, Christians, and Muslims",University of Colorado System,Beginner,general,,,4.6,4.6,,,curiosity history middle east golden age linguistics composite artifact colors Poetry Writing skepticism conquesting Culture arts-and-humanities history,"This course explores Jewish, Christian, and Muslim intercultural relations in Iberia from the Visigothic era (6th century CE) until the creation of Queen Isabel I and King Ferdinand II Catholic Spain (late 15th century). We evaluate the many identities of the peninsula known as Christian Hispania, Jewish Sefarad, and Islamic al-Andalus. We trace the origins and trajectory of conflict between these communities (the Muslim conquest of Spain, Christian Reconquista, prohibitions blocking intermixing of peoples, and expulsions). We aim to understand conflicts within communities as well, such as the tensions between Christian Arian Visigoths and native Catholic Iberians or the fundamentalist North African Almohad Dynasty that rejected the Spanish Umayyad Caliphate's preference for religious tolerance. We delve into an appreciation of collaboration and coexistence among these communities. We explore the unique role of the Jewish community who Muslims and Christians depended upon as political and cultural intermediaries as well as their intellectual collaborators. We find the history of how peoples attempted to create and manage viable diverse communities. As we study this history, the Honors Track will employ an investigative process ('The Historian's Craft') that involves viewing, reading, analyzing, and reflecting on events, peoples, places, and artifacts.",https://www.coursera.org/learn/coexistence-in-medieval-spain,,,,,"Coexistence in Medieval Spain: Jews, Christians, and Muslims curiosity history middle east golden age linguistics composite artifact colors Poetry Writing skepticism conquesting Culture arts-and-humanities history This course explores Jewish, Christian, and Muslim intercultural relations in Iberia from the Visigothic era (6th century CE) until the creation of Queen Isabel I and King Ferdinand II Catholic Spain (late 15th century). We evaluate the many identities of the peninsula known as Christian Hispania, Jewish Sefarad, and Islamic al-Andalus. We trace the origins and trajectory of conflict between these communities (the Muslim conquest of Spain, Christian Reconquista, prohibitions blocking intermixing of peoples, and expulsions). We aim to understand conflicts within communities as well, such as the tensions between Christian Arian Visigoths and native Catholic Iberians or the fundamentalist North African Almohad Dynasty that rejected the Spanish Umayyad Caliphate's preference for religious tolerance. We delve into an appreciation of collaboration and coexistence among these communities. We explore the unique role of the Jewish community who Muslims and Christians depended upon as political and cultural intermediaries as well as their intellectual collaborators. We find the history of how peoples attempted to create and manage viable diverse communities. As we study this history, the Honors Track will employ an investigative process ('The Historian's Craft') that involves viewing, reading, analyzing, and reflecting on events, peoples, places, and artifacts."
,Chinese Culture and Contemporary China,Nanjing University,Beginner,general,,,4.6,4.6,,,scrolling music relative change and difference history popular music chinese language art philosophy Culture flavor arts-and-humanities history,"This course of Chinese Culture and Contemporary China will explore the foundations of Chinese civilization and the dimensions of Chinese culture. It will pay particular attention to the relationship between Chinese culture and the present-day life of the Chinese people and to the different elements of the culture which are under the present social structures, belief systems, literature, arts, customs, etc. The course aims at providing students with a deeper knowledge of Chinese culture, thus enabling them to better understand China. The course will cover the following main areas of topics: (1) the foundations of Chinese civilization: its geography, language, and history; (2) the core concepts in Chinese philosophies and religions: Confucianism, Taoism, and Buddhism; (3), literature and arts, including Chinese calligraphy, painting, Tang poetry, and classical fiction; (4) society and life, including education, the role of women, Chinese food, and traditional holidays; (5) travel and landscapes, including well-known Chinese cities, mountains, ethnic regions and customs; (6) Chinese media, culture and sports, including TV and movies, fashion, Chinese gongfu and taiji. In addition, students will be expected to participate in a buddy program beyond curriculum if they have a chance to come to Nanjing. Ideally they will be paired up: an international student with a Nanjing University student to allow students to learn firsthand about Chinese customs, culture, and language. Students will be required to complete various projects and homework assignments as well, which will encourage them to use Nanjing University and the city of Nanjing as a laboratory to apply what they learn during their stay at Nanjing University.",https://www.coursera.org/learn/china-culture-contemporary,,,,,"Chinese Culture and Contemporary China scrolling music relative change and difference history popular music chinese language art philosophy Culture flavor arts-and-humanities history This course of Chinese Culture and Contemporary China will explore the foundations of Chinese civilization and the dimensions of Chinese culture. It will pay particular attention to the relationship between Chinese culture and the present-day life of the Chinese people and to the different elements of the culture which are under the present social structures, belief systems, literature, arts, customs, etc. The course aims at providing students with a deeper knowledge of Chinese culture, thus enabling them to better understand China. The course will cover the following main areas of topics: (1) the foundations of Chinese civilization: its geography, language, and history; (2) the core concepts in Chinese philosophies and religions: Confucianism, Taoism, and Buddhism; (3), literature and arts, including Chinese calligraphy, painting, Tang poetry, and classical fiction; (4) society and life, including education, the role of women, Chinese food, and traditional holidays; (5) travel and landscapes, including well-known Chinese cities, mountains, ethnic regions and customs; (6) Chinese media, culture and sports, including TV and movies, fashion, Chinese gongfu and taiji. In addition, students will be expected to participate in a buddy program beyond curriculum if they have a chance to come to Nanjing. Ideally they will be paired up: an international student with a Nanjing University student to allow students to learn firsthand about Chinese customs, culture, and language. Students will be required to complete various projects and homework assignments as well, which will encourage them to use Nanjing University and the city of Nanjing as a laboratory to apply what they learn during their stay at Nanjing University."
,How to Make a Comic Book (Project-Centered Course),High Tech High Graduate School of Education,Unknown,general,,,4.6,4.6,,,thumbnail Video Editing i-deas Writing art Copy Editing Booking Cartooning creative writing analysis arts-and-humanities music-and-art,"What you'll achieve: In this project-centered course*, you will create an original four page minicomic designed around a short story of your choosing. What you'll need to get started: This project-centered course is designed for all-age learners (high school age and above, at least 13 years of age) who are interested in learning how to make a comic book, but have never completed one before. While comic books can be created with any kinds of materials, we recommend that learners have the following materials available to complete the project: at least one ream of 8.5x11 copy paper, #2 pencils and eraser, Sharpie-type fine point pens, ruler with inch measurements, and adjustable binding stapler. Learners should also have access to a printer and scanner (to facilitate digitizing work to be shared with peers on Coursera). *About Project-Centered Courses: Project-Centered Courses are designed to help you complete a personally meaningful real-world project, with your instructor and a community of learners with similar goals providing guidance and suggestions along the way. By actively applying new concepts as you learn, you'll master the course content more efficiently; you'll also get a head start on using the skills you gain to make positive changes in your life and career. When you complete the course, you'll have a finished project that you'll be proud to use and share.",https://www.coursera.org/learn/make-comic-books,,,,,"How to Make a Comic Book (Project-Centered Course) thumbnail Video Editing i-deas Writing art Copy Editing Booking Cartooning creative writing analysis arts-and-humanities music-and-art What you'll achieve: In this project-centered course*, you will create an original four page minicomic designed around a short story of your choosing. What you'll need to get started: This project-centered course is designed for all-age learners (high school age and above, at least 13 years of age) who are interested in learning how to make a comic book, but have never completed one before. While comic books can be created with any kinds of materials, we recommend that learners have the following materials available to complete the project: at least one ream of 8.5x11 copy paper, #2 pencils and eraser, Sharpie-type fine point pens, ruler with inch measurements, and adjustable binding stapler. Learners should also have access to a printer and scanner (to facilitate digitizing work to be shared with peers on Coursera). *About Project-Centered Courses: Project-Centered Courses are designed to help you complete a personally meaningful real-world project, with your instructor and a community of learners with similar goals providing guidance and suggestions along the way. By actively applying new concepts as you learn, you'll master the course content more efficiently; you'll also get a head start on using the skills you gain to make positive changes in your life and career. When you complete the course, you'll have a finished project that you'll be proud to use and share."
