title,difficulty,university,price,rating,level,subject,is_paid,skills,source
Electrodynamics: Analysis of Electric Fields,Intermediate,Korea Advanced Institute of Science and Technology(KAIST),,4.8,,,,colloid Chemical Engineering electronics equipotential high voltage physics physics experiments Electrical Engineering Studentized Residual energy physical-science-and-engineering electrical-engineering,coursera
The Music of American English Pronunciation,Beginner,"University of California, Irvine",,4.7,,,,Receiving english grammar translation data clustering algorithms speech music grammar stress english language phonetics language-learning learning-english,coursera
Fundamentals of Management,Beginner,"University of California, Irvine",,4.5,,,,control (management) Planning process Leadership and Management management theory process management leadership management process Change Management organizing (management) business leadership-and-management,coursera
Advanced Speaking and Listening Project,Advanced,"University of California, Irvine",,5.0,,,,project rapid serial visual presentation panel discussion Critical Thinking listening speech english language Language Learning presentation language language-learning learning-english,coursera
Hybrid Cloud Service Mesh with Anthos,Beginner,Google Cloud,,4.8,,,,authentication multiplexed transport layer security it service management authorization service discovery load balancing application layer access control intelligent network traffic management information-technology cloud-computing,coursera
Dealing With Missing Data,Advanced,"University of Maryland, College Park",,3.5,,,,Estimation Weighting population control sample size determination Surveying Missing Data Stata Regression coverage error sampling frame data-science data-analysis,coursera
COBOL Programming with VSCode,Beginner,IBM,,4.7,,,,ibm cobol numbers (spreadsheet) relative change and difference Computer Programming data type cobol reserved word Arithmetic Mainframe Continuous Function computer-science software-development,coursera
Cryptography and Hashing Overview,,"University of California, Irvine",,4.7,,,,Average Cryptography encryption hash function public-key cryptography string (computer science) verification and validation hashing password BlockChain computer-science algorithms,coursera
Postman - Intro to APIs (without coding),Beginner,Coursera Project Network,,4.4,,,,project mine Marketing news network news transfer protocol project Writing application programming interfaces uniform resource locator numbers (spreadsheet) interact information-technology data-management,coursera
Protecting Business Innovations via Patent,Beginner,The Hong Kong University of Science and Technology,,4.8,,,,service innovation Innovation Patent Law intellectual property ordered pair law utility Planning business process cost business business-strategy,coursera
"Real-time OCR and Text Detection with Tensorflow, OpenCV and Tesseract",Beginner,Coursera Project Network,,3.7,,,,image processing openbsd optical character recognition digital image processing Python Programming Tensorflow region of interest object detection opencv Machine Learning data-science machine-learning,coursera
Global Strategy I: How The Global Economy Works,Advanced,University of Illinois at Urbana-Champaign,,4.8,,,,relative change and difference economy competitiveness case study analysis foreign direct investment trading Economic Models emerging markets global business business-strategy,coursera
Disability Inclusion in Education: Building Systems of Support,Intermediate,University of Cape Town,,4.8,,,,social justice Special Education Learning Disability education empowerment intellectual disability learning disabilities Causality teaching Child Psychology social-sciences education,coursera
Introduction to Cybersecurity Tools & Cyber Attacks,Beginner,IBM,,4.3,,,,cyber-security regulation cyber security standards forensics security digital forensics cybercrime Cryptography Cyberattacks Leadership and Management penetration test information-technology cloud-computing,coursera
"Fundamentals of Funding, with Goldman Sachs 10,000 Women",Beginner,Goldman Sachs,,4.6,,,,Communication valuation of options funds online learning Banking Loan Repayment Private Equity investment banking Finance funding options business entrepreneurship,coursera
Foundations of Objective-C App Development,Beginner,"University of California, Irvine",,4.7,,,,iOS Development printf format string xcode c programming Computer Programming euler's totient function objective-c Swift Programming c++ ordered pair computer-science mobile-and-web-development,coursera
Programming Mobile Applications for Android Handheld Systems: Part 2,Advanced,"University of Maryland, College Park",,4.7,,,,notification area interaction technique Android Development Software Engineering mobile app shell (computing) widget (gui) php graphical user interface elements Databases computer-science mobile-and-web-development,coursera
Analyzing Market Attractiveness Using Creately,Beginner,Coursera Project Network,,4.7,,,,Financial Analysis market (economics) Strategy Business Strategy attractiveness competitiveness supply chain business plan porter's five forces analysis analysis business business-strategy,coursera
Personal Leadership Development Planning and Leading High Performing Teams,Advanced,Rice University,,4.7,,,,personal advertisement performance Leadership Development self-assessment delegation smart criteria motivation leadership empowerment competence (human resources) business leadership-and-management,coursera
Integrating Scripts for Scene Interactions,Advanced,Unity,,4.8,,,,Switches interactivity experience ordered pair video game development Computer Programming computer animation project User Experience Visual Design computer-science design-and-product,coursera
Voices of Social Change,Beginner,Laureate Education,,4.7,,,,social network process Planning friendship takeover business process relative change and difference design thinking social work brainstorming personal-development personal-development,coursera
"Managing Asthma, Allergies, Diabetes, and Seizures in School",Beginner,University of Colorado System,,4.8,,,,health care first aid medication asthma allergy glucose emergency emergency management symptoms Leadership and Management life-sciences patient-care,coursera
Global Challenges in Business Capstone,Advanced,University of Illinois at Urbana-Champaign,,4.5,,,,supply chain global pricing market segmentation go to market market (economics) corporate social responsibility strategic management Target Market added value business business-essentials,coursera
Severe to Profound Intellectual Disability: Circles of Care and Education,Intermediate,University of Cape Town,,4.7,,,,lifelong learning process Special Education intellectual disability developmental disabilities education child intellectual autism facilitation life-sciences healthcare-management,coursera
Teaching Children with Visual Impairment: Creating Empowering Classrooms,Beginner,University of Cape Town,,4.9,,,,child development education teaching peer support Special Education experience learning styles psychosocial assistive technology child social-sciences education,coursera
Intercultural Communication and Conflict Resolution,Advanced,"University of California, Irvine",,4.3,,,,relative change and difference international relations psychological first aid cross-cultural communication Planning Office Administration intercultural communication Communication Culture conflict resolution business business-essentials,coursera
Prediction and Control with Function Approximation,Beginner,University of Alberta,,4.8,,,,reinforcement Gradient gradient descent Reinforcement Learning approximation markov decision process euler's totient function function approximation Human Learning table of keyboard shortcuts data-science machine-learning,coursera
Advanced Neurobiology I,Beginner,Peking University,,3.5,,,,action potential biochemistry neuron (software) anatomy pharmacology neurobiology neuroscience biology alzheimer's disease molecular biology life-sciences basic-science,coursera
Foundations of Teaching for Learning: Introduction,Intermediate,Commonwealth Education Trust,,4.5,,,,psychology Human Learning interpersonal relationships educational practices teaching teaching method proactivity thought child development Planning social-sciences education,coursera
Change Leadership: Developing Force Field Analysis in Miro,Advanced,Coursera Project Network,,5.0,,,,business case personal advertisement Mapping Planning project Map e-nable Change Management Writing enabling business business-strategy,coursera
Lesson | Telephone Language,,Georgia Institute of Technology,,4.5,,,,speech language Marketing law B2B Marketing Digital Marketing english language online learning community Accounting E-Commerce language-learning learning-english,coursera
Python Tricks and Hacks for Productivity,Advanced,Coursera Project Network,,4.1,,,,Computer Programming Transpose concision Python Programming Software Engineering grasp project Operations Management progress bar dict computer-science software-development,coursera
Privacy in the USA,Advanced,EIT Digital,,4.6,,,,american law personally identifiable information security privacy data protection telecommunications litigation public relations financial privacy stemming law social-sciences law,coursera
Japanese for beginners 2,Beginner,Saint Petersburg State University,,4.4,,,,shopping japanese language grammar Writing materials linguistics listening korean language process video game development language-learning other-languages,coursera
Introduction to Recommender Systems: Non-Personalized and Content-Based,Beginner,University of Minnesota,,4.3,,,,demography Tf Idf Summary Statistics recommender systems information retrieval recursively enumerable set personalization preference tracking Machine Learning data-science machine-learning,coursera
Global Disease Masterclass: Global Disease Distribution,Beginner,Imperial College London,,4.5,,,,global Determinants General Statistics Risk Studentized Residual health data risk factors Risk Factor Chi-Squared Distribution disease life-sciences public-health,coursera
Age of Cathedrals,Intermediate,Yale University,,4.7,,,,architecture art bible Art History glassing middle age ageing mother Autoregressive Conditional Heteroskedasticity history arts-and-humanities history,coursera
Smart Contracts,Advanced,The State University of New York,,4.6,,,,client (computing) BlockChain access modifiers interfaces tracing (software) teleprocessing monitor smart contract deployment environment ethereum solidity computer-science software-development,coursera
Create an FPS Weapon in Unity (Part 1 - Revolver),Advanced,Coursera Project Network,,5.0,,,,gamification of learning project process .properties hold java annotation source lines of code e-nable teaching method parenting computer-science software-development,coursera
Homeland Security and Cybersecurity Future,Intermediate,University of Colorado System,,4.6,,,,Leadership and Management crime Risk criminology security computer and network surveillance no silver bullet trade-off cybercrime risk analysis social-sciences governance-and-society,coursera
Healthcare Consumerism and Implication for Care Delivery,Intermediate,Northeastern University,,4.5,,,,Healthcare Management emotion insurance Change Management voice of the customer Leadership and Management nutrition fee-for-service Human Learning ecosystems life-sciences healthcare-management,coursera
Magna Carta and its Legacies: Freedom and protest,Intermediate,University of London,,4.4,,,,land law go (programming language) english language historiography history of ideas authority constitution law history common law arts-and-humanities history,coursera
Converter Circuits,Advanced,University of Colorado Boulder,,4.8,,,,modeling analysis sensitivity index topology electronics Electrical Engineering Switches simulation power electronics Electronic Design physical-science-and-engineering electrical-engineering,coursera
Predictive Modeling and Analytics,Advanced,University of Colorado Boulder,,3.0,,,,Logistic Regression analytics predictive analytics Regression Data Analysis Regression Analysis supply chain analysis linear regression predictive modelling data-science data-analysis,coursera
Animals and Institutions,Beginner,University of Colorado Boulder,,5.0,,,,livestock animal veterinary veterinary medicine captivity dieting sports animal science medicine evaluation social-sciences governance-and-society,coursera
ART of the MOOC: Public Art and Pedagogy,,Duke University,,4.6,,,,educational entertainment level of analysis history of rock art therapy history art case study interview Critical Thinking media & citizenship arts-and-humanities music-and-art,coursera
Genetics and Society: A Course for Educators,Intermediate,American Museum of Natural History,,4.7,,,,biology genetically modified organisms medicine genetics genomics agriculture stem cell history of genetics dna profiling comparative genomics life-sciences basic-science,coursera
Russian History: from Lenin to Putin,Intermediate,"University of California, Santa Cruz",,4.7,,,,foreign policy Russian Note Taking market price Art History latex essay writing arts and humanities history war arts-and-humanities history,coursera
Packet Switching Networks and Algorithms,Advanced,University of Colorado System,,4.6,,,,packet switching traffic management network layer routing random early detection network topology token bucket routing protocol topology open shortest path first computer-science computer-security-and-networks,coursera
Transgender Medicine for General Medical Providers,Intermediate,Icahn School of Medicine at Mount Sinai,,4.8,,,,therapy Medical Practice behavior therapy Medical Statistics medicine good clinical practice Surgery hormone replacement therapy hormone women's health life-sciences patient-care,coursera
Epigenetic Control of Gene Expression,Beginner,The University of Melbourne,,4.8,,,,Cancer reproductive technology Dna Methylation assisted reproductive technology gene expression DNA gene genetics stem cell Cancer Epigenetics life-sciences basic-science,coursera
Successful Interviewing,Advanced,"University of Maryland, College Park",,4.7,,,,Strategy canned response show me! interview career technology strategy experience english language speech self-assessment language-learning learning-english,coursera
The hidden value ' Lean in manufacturing and services,Intermediate,'cole des Ponts ParisTech,,4.7,,,,Kaizen Mapping value stream mapping manufacturing process management process lean manufacturing lean thinking streams thought Lean Methods business business-essentials,coursera
Mastering SQL Joins,Advanced,Coursera Project Network,,4.0,,,,aggregate function project employment sorting more than two modulo operation Data Analysis euler's totient function project mine ascendency data-science data-analysis,coursera
Create a Database with the Modeling Tool in MySQL Workbench,Intermediate,Coursera Project Network,,4.7,,,,Databases java annotation integrated development environments mysql database management systems user interface mysql workbench table (database) relational database Database Design information-technology data-management,coursera
Project Planning and Machine Learning,Beginner,University of Colorado Boulder,,4.4,,,,Machine Learning Algorithms Planning internet of things project process system u project planning Big Data project plan Machine Learning computer-science design-and-product,coursera
Build Random Forests in R with Azure ML Studio,Beginner,Coursera Project Network,,4.7,,,,forest Writing Random Forest evaluation Machine Learning Python Programming R Programming randomness Experiment Feature Engineering data-science machine-learning,coursera
"Introduction to CAD, CAM, and Practical CNC Machining",Beginner,Autodesk,,4.8,,,,Autodesk CNC Machine physics 3d modeling Chemical Engineering manufacturing process management programming tool computer-aided design Mechanical Engineering autocad physical-science-and-engineering mechanical-engineering,coursera
Problem Solving Using Computational Thinking,Beginner,University of Michigan,,4.7,,,,Epidemiology relative change and difference decomposition Problem Solving evaluation problem statement Computational Thinking human trafficking Algorithms hindley milner type system computer-science algorithms,coursera
"Surveillance Systems: Analysis, Dissemination, and Special Systems",Intermediate,Johns Hopkins University,,4.7,,,,disease disease surveillance Epidemiology public health surveillance antimicrobial resistance public health antimicrobials prevention non-communicable disease risk factors life-sciences public-health,coursera
Control physics with C# in Unity,Beginner,Coursera Project Network,,4.8,,,,c++ Computer Programming c sharp (programming language) video game development language Cartogram physics animation software Civil Engineering Electrical Engineering computer-science software-development,coursera
Create Relational Database Tables Using SQLiteStudio,Beginner,Coursera Project Network,,4.7,,,,database management systems Databases web browsers BlockChain relational database sqlite web Average SQL table (database) information-technology data-management,coursera
Spacecraft Dynamics Capstone: Mars Mission,Advanced,University of Colorado Boulder,,4.8,,,,simulation daughter autonomous cars tracking numerical analysis Framing computer simulation satellite Mechanical Engineering physics physical-science-and-engineering physics-and-astronomy,coursera
Guided Imagery,Intermediate,University of Minnesota,,4.8,,,,functional medicine music meditation counseling psychology psychotherapy healing guided imagery patient hypnosis naturopathy life-sciences research,coursera
Making Architecture,Intermediate,IE Business School,,4.8,,,,Design Analysis modeling Interior Design architecture thought architectural design Landscape Design Landscape Architecture analysis Creativity arts-and-humanities music-and-art,coursera
Building Resilient Streaming Analytics Systems on GCP,Advanced,Google Cloud,,4.6,,,,Cloud Computing bigquery bigtable dataflow query optimization stream processing Google Cloud Platform streams mathematical optimization publish subscribe pattern information-technology cloud-computing,coursera
Types of Conflict,Intermediate,"University of California, Irvine",,4.3,,,,conflict resolution Leadership and Management Office Administration active listening Communication Employee Relations sociology psychology interpersonal communication Conflict Management business business-essentials,coursera
Product Design: Designing a modern table lamp using SketchUp,Beginner,Coursera Project Network,,4.7,,,,sketchup lamp (software bundle) Web Design Graphic Design Graphics Software 3d graphics software rendering (computer graphics) Product Design Computer Graphics 3d computer graphics computer-science design-and-product,coursera
Beyond the Sustainable Development Goals (SDGs): Addressing Sustainability and Development,Beginner,University of Michigan,,4.6,,,,ecotourism the economics of ecosystems and biodiversity political science circular economy history economics of sustainability sustainability climate change biodiversity biodiversity loss social-sciences governance-and-society,coursera
The New Nordic Diet - from Gastronomy to Health,Beginner,University of Copenhagen,,4.5,,,,dietetics dieting sustainability cardiovascular disease diet (nutrition) acceptance nutrition lifestyle disease eating diets life-sciences nutrition,coursera
Voice Disorders: What Patients and Professionals Need to Know,Intermediate,Icahn School of Medicine at Mount Sinai,,4.9,,,,anatomy Speech Language Pathology sign language communication disorder music Music Therapy speech and language pathology medicine performance human voice life-sciences patient-care,coursera
Teaching Tips for Tricky English Grammar,Intermediate,"University of California, Irvine",,4.7,,,,collocation formal grammar teaching english grammar assistant teacher grammar japanese language english language adjective Student's t-Distribution language-learning learning-english,coursera
"Learn to Teach Java: Boolean Expressions, If Statements, and Iteration",Advanced,University of California San Diego,,,,,,specification (technical standard) iteration code segment test case modulo operation modeling market segmentation for loop boolean expression method (computer programming) social-sciences education,coursera
Business Writing,Beginner,University of Colorado Boulder,,4.7,,,,Business Writing email writing Writing english language confidence Communication Business Communication email presentation grammar business business-essentials,coursera
Cyber Threats and Attack Vectors,Intermediate,University of Colorado System,,4.6,,,,passive attack security data breaches vulnerability (computing) cloud computing security resource wireless breach (security exploit) threat Cloud Computing information-technology security,coursera
Build a Table Layout App in Android Studio,Beginner,Coursera Project Network,,4.5,,,,android studio upload matching java (software platform) Java Programming Android Development drop-down list Software Engineering text box Computer Programming computer-science mobile-and-web-development,coursera
Introduction to Genomic Technologies,,Johns Hopkins University,,4.5,,,,Statistical Analysis genomics genetics molecular biology General Statistics biology Bioinformatics analysis Biostatistics computational biology data-science data-analysis,coursera
Designing for Sustainment: Keeping Improvement Work on Track (Patient Safety IV),Intermediate,Johns Hopkins University,,4.5,,,,leadership project Strategy patient safety maximization (psychology) project planning sustainability augmented assignment project plan Change Management life-sciences patient-care,coursera
Big data and Language 2,Advanced,Korea Advanced Institute of Science and Technology(KAIST),,5.0,,,,text corpus relative change and difference language linguistics corpora process analysis Big Data corpus linguistics search engine optimization language-learning learning-english,coursera
Understanding the Australian economy: An introduction to macroeconomic and financial policies,Intermediate,The University of Sydney,,4.6,,,,Finance economy inflation Causality fiscal policy gross domestic product Economics banking in australia monetary policy crisis social-sciences economics,coursera
Bayesian Statistics: Mixture Models,Beginner,"University of California, Santa Cruz",,4.8,,,,data clustering algorithms Mixture Model Bayesian Statistics mixture distribution markov chain Algorithms Studentized Residual sampling statistics General Statistics Bayesian data-science data-analysis,coursera
Networking and Security in iOS Applications,Advanced,"University of California, Irvine",,4.6,,,,oauth javascript syntax iOS Development authentication hypertext transfer protocol uniform resource locator web service single sign-on web push technology computer-science computer-security-and-networks,coursera
Improving Math Engagement with Prodigy,Beginner,Coursera Project Network,,4.8,,,,Accounting Mathematics student engagement child Strategy Factorial project mine home home directory project social-sciences education,coursera
Molecular Evolution (Bioinformatics IV),Advanced,University of California San Diego,,4.7,,,,Bioinformatics phylogenetic tree introduction to evolution Molecular Evolution hindley milner type system evolution computational biology phylogenetics genomics biotechnology life-sciences health-informatics,coursera
Exception Handling in Python,Beginner,Coursera Project Network,,4.7,,,,Python Programming exception handling relative change and difference approximation error ordered pair compiler Type I And Type Ii Errors Computer Programming project syntax computer-science software-development,coursera
FinTech Foundations and Overview,Intermediate,The Hong Kong University of Science and Technology,,4.7,,,,financial services Finance financial services companies trading BlockChain Innovation Payments stock FinTech cryptocurrency business finance,coursera
Information & Digital Literacy for University Success,Beginner,The University of Sydney,,4.9,,,,evaluation information source sources Writing brainstorming Critical Thinking organizing (management) web content Communication digital identity social-sciences education,coursera
Improving Classroom Management with Class Dojo,Beginner,Coursera Project Network,,4.9,,,,parent Economics confidence choice project parenting social work project mine positive psychology behavior social-sciences education,coursera
Managing Big Data with MySQL,Beginner,Duke University,,4.6,,,,SQL Leadership and Management analysis relational database Databases select (sql) Big Data language Data Analysis mysql data-science data-analysis,coursera
"Risk, Return & Valuation",Beginner,University of Michigan,,4.8,,,,relative change and difference Correlation And Dependence return on equity cash flow Finance valuation (finance) average cost method debt stock Risk business finance,coursera
Managing Employee Performance,Beginner,University of Minnesota,,4.7,,,,Culture employment performance appraisal Performance Management organizational culture Leadership and Management leadership performance Human Resources resource business business-essentials,coursera
Channel Management and Retailing,Beginner,IE Business School,,4.4,,,,retailing Marketing category management Retail Management marketing mix visual merchandising Leadership and Management Trade Marketing distribution (business) Channel Management business marketing,coursera
Entrepreneurship II: Preparing for Launch,Advanced,University of Illinois at Urbana-Champaign,,4.8,,,,Entrepreneurship Venture Capital investment Finance market (economics) go to market financial forecast Business Modeling Market Analysis pricing strategies business entrepreneurship,coursera
World Design for Video Games,Advanced,California Institute of the Arts,,4.3,,,,level design volume mesh 3d modeling proof of concept video game development game design gameplay computer animation possible world Virtual Reality arts-and-humanities music-and-art,coursera
Mathematics for Machine Learning: Linear Algebra,Beginner,Imperial College London,,4.5,,,,Algebra sigma-algebra Eigenvalues And Eigenvectors matrices linearity Python Programming Linear Algebra pagerank Vector Projection transformation matrix data-science machine-learning,coursera
Free Speech on Campus Teach-Out,Beginner,University of Michigan,,4.5,,,,listening prejudices sexism pride analysis participatory democracy authority constitution irony doctrine social-sciences governance-and-society,coursera
Real-Time Embedded Systems Concepts and Practices,Advanced,University of Colorado Boulder,,3.0,,,,real-time operating systems microprocessor embedded linux Continuous Function coprocessor analysis Electrical Engineering multi-core processor raspberry pi linux on embedded systems physical-science-and-engineering electrical-engineering,coursera
Create a Virtual Classroom using Google Slides,Intermediate,Coursera Project Network,,4.6,,,,developmental science developmental psychology psychology virtual class lifelong learning teaching confidence parent resource project social-sciences education,coursera
Security and Privacy for Big Data - Part 1,Beginner,EIT Digital,,4.7,,,,privacy data governance SQL Big Data security Cryptography data security information privacy access control measurement information-technology security,coursera
"Disinformation, Misinformation, and Fake News Teach-Out",Beginner,University of Michigan,,4.9,,,,prolog disinformation Journalism viral marketing child propaganda media literacy political communication arts and humanities media psychology arts-and-humanities philosophy,coursera
Teaching Intermediate Grammar Project,Advanced,"University of California, Irvine",,4.4,,,,exercise Student's t-Distribution Receiving methodology process teaching lesson plan grammar english language Trigonometric Integral language-learning learning-english,coursera
Introduction to Acoustics (Part 2),Beginner,Korea Advanced Institute of Science and Technology(KAIST),,4.7,,,,astronomy normal (geometry) energy relative change and difference acoustics phenomenon Integral kendall rank correlation coefficient boundary element method euler's totient function physical-science-and-engineering physics-and-astronomy,coursera
Qualitative Research Methods,Advanced,University of Amsterdam,,4.5,,,,interview analysis Writing Qualitative Analysis Data Analysis qualitative research research methods Stata observation quantitative research social-sciences governance-and-society,coursera
The Rooseveltian Century,Advanced,Universiteit Leiden,,4.7,,,,externality Economics economy i-deas history education social justice justice security arbitration arts-and-humanities history,coursera
Analysis for Business Systems,Beginner,University of Minnesota,,4.7,,,,Business Analysis business process test case use case dataflow analysis feasibility study flow network sap erp process information-technology data-management,coursera
Implementing SOLID Principles in C# with .NET Core,Intermediate,Coursera Project Network,,,,,,recursively enumerable set child abstract type c sharp (programming language) java annotation principle solid (object-oriented design) console applications inheritance (object-oriented programming) Workshops computer-science software-development,coursera
"History of Rock, Part Two",Intermediate,University of Rochester,,4.8,,,,history of rock music history ordered pair Mainstreaming film guitar rockbox disco teen idol arts-and-humanities music-and-art,coursera
Device-based Models with TensorFlow Lite,Beginner,DeepLearning.AI,,4.6,,,,Deep Learning raspberry pi Android Development Tensorflow object detection mathematical optimization iOS Development demos mobile operating systems microcontroller computer-science software-development,coursera
Wireshark for Basic Network Security Analysis,Beginner,Coursera Project Network,,4.4,,,,https telnet key (cryptography) plaintext authentication Cryptography encryption domain name system password Wireshark information-technology security,coursera
Advanced Practice Provider/Physician Assistant: Opioid Use Disorder Medication Assisted Treatment Waiver Training (24hr),Beginner,University of Virginia,,,,,,medication patient buprenorphine/naloxone substance use disorder buprenorphine naloxone pharmacotherapy Addiction Treatment physician assistant methadone life-sciences healthcare-management,coursera
Setting Expectations & Assessing Performance Issues,Intermediate,"University of California, Davis",,4.7,,,,Average mentorship performance leadership coaching employment Leadership and Management Human Resources process vision statement business leadership-and-management,coursera
Tracking Student Growth using Google Slides,Beginner,Coursera Project Network,,5.0,,,,project mine child Accounting project parent peering parenting personal advertisement graphs confidence social-sciences education,coursera
The Teacher's Social and Emotional Learning,Intermediate,University of Colorado Boulder,,4.7,,,,emotion teaching education educational psychology Child Psychology Special Education pedagogy Professional Development Emotional Intelligence mindfulness (psychology) social-sciences education,coursera
Beyond Silicon Valley: Growing Entrepreneurship in Transitioning Economies,Advanced,Case Western Reserve University,,4.4,,,,funds economy entrepreneurship ecosystem mentorship Entrepreneurship support group leverage (finance) leadership Venture Capital angel investor business entrepreneurship,coursera
The fundamentals of hotel distribution,Intermediate,ESSEC Business School,,4.7,,,,Hotel Management revenue management distribution (business) Leadership and Management Studentized Residual Chi-Squared Distribution hospitality management revenue Marketing hotel business business-strategy,coursera
